id,Name,Transition,Type of news,Icon,LAT_Y,LONG_X,Address,Town,Province,Can,Ownership,Date,What happened?,NumGoodSource,NumBadSource,Source 1,Source 2,Doc:Pub,Doc1:Pub1,Doc:SelfPub,Doc:Wiki,Doc:FishWrap,Doc:NewspaperCanada,Document4 - Unifor
143,L'Écho de la Rive-Nord,to online,community paper,community paper : to online,45.6437466,-73.834025,,Sainte-Thérèse,QC,Canada,Néomédia,9/3/2014,"L'Écho de la Rive-Nord, a community newspaper, was purchased by Néomédia in September 2014 and are now published online only. ",2,1,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,http://tctranscontinental.com/en/-/transcontinental-inc-announces-the-results-of-the-sale-process-of-the-weekly-newspapers-in-quebec-designated-by-the-competition-bureau,,,,
144,L'Écho de Trois-Rivières,to online,community paper,community paper : to online,46.3547017,-72.57795,,Trois-Rivières,QC,Canada,Néomédia,9/3/2014,"L'Écho de Trois-Rivières, a community newspaper, was purchased by Néomédia in September 2014 and are now published online only. ",2,1,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,http://tctranscontinental.com/en/-/transcontinental-inc-announces-the-results-of-the-sale-process-of-the-weekly-newspapers-in-quebec-designated-by-the-competition-bureau,,,,
145,Agri-Vallée,to online,community paper,community paper : to online,45.2727458,-74.07973,,Valleyfield,QC,Canada,Néomédia,9/3/2014,"Agri-Vallée, a community newspaper, was purchased by Néomédia in September 2014 and are now published online only. ",2,1,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,http://www.huffingtonpost.ca/2014/09/03/transcontinental-shuts-20-quebec-weeklies_n_5759684.html,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,http://tctranscontinental.com/en/-/transcontinental-inc-announces-the-results-of-the-sale-process-of-the-weekly-newspapers-in-quebec-designated-by-the-competition-bureau,,,,
146,Le Saint-Laurent Portage,closed,community paper,community paper : closed,47.8365649,-69.535956,,Rivière-du-Loup,QC,Canada,Transcontinental,9/3/2014,"Le Saint-Laurent Portage, a Transcontinental community newspaper, was closed September, 2014. ",2,2,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,http://www.infodimanche.com/actualites/affaires-et-economie/140408/le-saint-laurent-portage-ferme-ses-portes,http://blog.fagstein.com/2014/09/03/14-community-papers-sold/,http://www.infodimanche.com/actualites/affaires-et-economie/140408/le-saint-laurent-portage-ferme-ses-portes,https://web.archive.org/web/20140903213020/http://www.lesaintlaurentportage.ca/2014/09/03/le-st-laurent-portage-ferme-ses-portes,,,http://www.newspaperscanada.ca/news/industry/tc-media-announces-reorganization-weekly-papers-quebec,
147,East Gwillimbury Express,new,community paper,community paper : new,44.1024626,-79.442427,,East Gwillimbury,ON,Canada,Metroland,9/11/2014,"Metroland  launched the East Gwillimbury Express on September 11, 2014. ",0,2,http://www.yorkregion.com/news-story/4857064-east-gwillimbury-express-launched-sept-11/,,,,http://www.yorkregion.com/news-story/4857064-east-gwillimbury-express-launched-sept-11/,,,http://www.newspaperscanada.ca/news/industry/york-region-media-group-launches-new-publication,
148,Kelowna Capital News,decrease (arrow),community paper,community paper : decrease (arrow),49.8861551,-119.43103,,Kelowna,BC,Canada,Black Press,9/15/2014,"The Black Press-owned Kelowna Capital News was a daily newspaper until 2011 when it began publishing three times a week. As of Sept. 15, 2014, it began appearing twice per week. ",0,3,http://blackpress.ca/publications/?id=113,,,,http://blackpress.ca/publications/?id=113,,,http://www.newspaperscanada.ca/news/industry/kelowna-capital-news-updates-publishing-schedule,UNIFOR paper closure spreadsheet
149,Valley Now,new,community paper,community paper : new,44.713749,-65.237956,,Annapolis,NS,Canada,Transcontinental,11/12/2014,"TC Media launched a new community newspaper in Nova Scotia on November 12. Valley Now is a free weekly publication serving the residents of Kings, Annapolis and Hants counties. ",1,1,http://www.novanewsnow.com/News/Local/2014-11-10/article-3931473/TC%26bull%3BMedia-launching-Valley-Now-newspaper-on-Nov.-12/1,,http://www.novanewsnow.com/News/Local/2014-11-10/article-3931473/TC%26bull%3BMedia-launching-Valley-Now-newspaper-on-Nov.-12/1,,,,,http://www.newspaperscanada.ca/news/industry/tc-media-launches-new-free-weekly-nova-scotia,
150,Channel 6,new,online,online : new,52.2882368,-113.82679,,Red Deer,AB,Canada,independent,5/29/2015,"Channel 6, a new online local news outlet, was launched May 29, 2015. ",,,http://channel6.ca/about-us,Channel 6 staff,,,http://channel6.ca/about-us,,,,
151,Metro online - Hamilton,closed,online,online : closed,43.2500208,-79.8660914,,Hamilton,ON,Canada,Metroland,12/9/2014,"Metro Canada announced in April 2012 that it would open a digital-only news edition in Hamilton. It closed on December 9, 2014. ",0,2,http://metronews.ca/about/,,,,http://metronews.ca/about/,,,http://www.newspaperscanada.ca/news/industry/three-metro-newspapers-move-digital-only-format (and stats),
152,Metro online - Kitchener,closed,online,online : closed,43.4129238,-80.4771472,,Kitchener,ON,Canada,Metroland,12/9/2014,"Metro Canada announced in April 2012 that it would open a digital-only news edition in Kitchener. It closed on December 9, 2014. ",0,2,http://metronews.ca/about/,,,,http://metronews.ca/about/,,,http://www.newspaperscanada.ca/news/industry/three-metro-newspapers-move-digital-only-format (and stats),
153,Metro online - Victoria,closed,online,online : closed,48.4412898,-123.36987,,Victoria,BC,Canada,Metroland,12/9/2014,"Metro Canada announced in April 2012 that it would open a digital-only news edition in Victoria. It closed on December 9, 2014. ",0,2,http://metronews.ca/about/,,,,http://metronews.ca/about/,,,http://www.newspaperscanada.ca/news/industry/three-metro-newspapers-move-digital-only-format (and stats),
154,Metro online - Windsor,closed,online,online : closed,42.2916905,-83.059558,,Windsor,ON,Canada,Metroland,12/9/2014,"Metro Canada announced in April 2012 that it would open a digital-only news edition in Windsor. It closed on December 9, 2014. ",0,2,http://metronews.ca/about/,,,,http://metronews.ca/about/,,,http://www.newspaperscanada.ca/news/industry/three-metro-newspapers-move-digital-only-format (and stats),
155,South Cowichan Echo,new,community paper,community paper : new,48.6515602,-123.55852,,Cobble Hill,BC,Canada,independent,12/15/2014,"A new monthly community newspaper, the South Cowichan Echo, opened in December, 2014. ",2,1,http://nanaimobusinessnews.ca/2014/12/03/new-newspaper-coming-cowichan-valley/,http://richardhughes.ca/cowichan-conversations/south-cowichan-echo-hit-mailboxes-in-cowichan-bay-mill-bay-and-cobble-hill/,http://nanaimobusinessnews.ca/2014/12/03/new-newspaper-coming-cowichan-valley/,http://richardhughes.ca/cowichan-conversations/south-cowichan-echo-hit-mailboxes-in-cowichan-bay-mill-bay-and-cobble-hill/,,,,http://www.newspaperscanada.ca/news/industry/new-community-newspaper-coming-cowichan-valley-bc,
156,kamloopsbcnow.com,new,online,online : new,50.6738207,-120.3300433,469 St. Paul Street,Kamloops,BC,Canada,independent,1/12/2015,"This online local news site in Kamloops is owned by the same company that publishes KelownaNow.com. Its published its first tweet in January, 2015. ",1,0,https://www.kelownanow.com/watercooler/news/news/Kamloops/15/01/12/The_Now_Brand_Expands_into_Kamloops,,https://www.kelownanow.com/watercooler/news/news/Kamloops/15/01/12/The_Now_Brand_Expands_into_Kamloops,,,,,,
157,Xtra - Ottawa,to online,community paper,community paper : to online,45.2830621,-75.5721537,Bank St. ,Ottawa,ON,Canada,Pink Triangle Press,2/12/2015,"Xtra - Ottawa ended its print publication in February, 2015 and now appears online only.",1,0,http://globalnews.ca/news/1775237/xtra-papers-in-3-canadian-cities-shutting-down/,,http://globalnews.ca/news/1775237/xtra-papers-in-3-canadian-cities-shutting-down/,,,,,,
158,Xtra - Vancouver,to online,community paper,community paper : to online,49.2803931,-123.1311967,Davie St. ,Vancouver,BC,Canada,Pink Triangle Press,2/12/2015,"Xtra - Vancouver ended its print publication in February, 2015 and now appears online only. ",1,0,http://globalnews.ca/news/1775237/xtra-papers-in-3-canadian-cities-shutting-down/,,http://globalnews.ca/news/1775237/xtra-papers-in-3-canadian-cities-shutting-down/,,,,,,
159,Xtra - Toronto,to online,community paper,community paper : to online,43.6645421,-79.3817523,Church and Wellesley,Toronto,ON,Canada,Pink Triangle Press,2/19/2015,"Xtra - Toronto ended its print publication in February, 2015 and now appears online only. ",1,0,http://globalnews.ca/news/1775237/xtra-papers-in-3-canadian-cities-shutting-down/,,http://globalnews.ca/news/1775237/xtra-papers-in-3-canadian-cities-shutting-down/,,,,,,
160,Cowichan Valley News Leader Pictorial,closed ,daily paper - free,daily paper - free : closed ,48.7669208,-123.69909,,Duncan,BC,Canada,Black Press,3/1/2015,"The Black Press publication, the Cowichan Valley News Leader Pictoral, switched from daily to weekly publication in  March, 2013 before finally closing entirely in March 2015. ",2,0,http://www.vancouversun.com/news/Newspapers+healthy+despite+Kamloops+Daily+News+closure+industry+spokesman+says/9355158/story.html,http://www.cheknews.ca/black-press-closes-cowichan-valley-news-leader-77061/,http://www.vancouversun.com/news/Newspapers+healthy+despite+Kamloops+Daily+News+closure+industry+spokesman+says/9355158/story.html,http://www.cheknews.ca/black-press-closes-cowichan-valley-news-leader-77061/,,,,,
161,Fast Forward Weekly,closed,community paper,community paper : closed,51.0706271,-114.08768,,Calgary,AB,Canada,Great West Newspapers,3/5/2015,"Fast Forward Weekly first transitioned to an online news source and then closed March, 2015. ",1,1,http://globalnews.ca/news/1841282/calgarys-free-weekly-newspaper-ffwd-calls-it-quits/,,http://globalnews.ca/news/1841282/calgarys-free-weekly-newspaper-ffwd-calls-it-quits/,,http://www.ffwdweekly.com/news--views/news/end-of-the-line/,,,,
162,Oceanside Star,closed,community paper,community paper : closed,49.3166741,-124.29895,,Parksville,BC,Canada,Black Press,3/26/2015,"Purchased from Glacier Media, the Oceanside Star was closed by Black Press in March, 2015. ",2,0,http://nanaimobusinessnews.ca/2015/03/30/three-island-weekly-newspapers-to-close/,http://j-source.ca/article/black-press-folds-two-vancouver-island-newspapers,http://nanaimobusinessnews.ca/2015/03/30/three-island-weekly-newspapers-to-close/,http://j-source.ca/article/black-press-folds-two-vancouver-island-newspapers,,,,,
163,Campbell River Courier-Islander,closed,community paper,community paper : closed,50.0259771,-125.24723,,Campbell River,BC,Canada,Black Press,3/27/2015,"Purchased from Glacier Media, the Campbell River Courier-Islander was closed by Black Press in March, 2015. ",2,0,http://nanaimobusinessnews.ca/2015/03/30/three-island-weekly-newspapers-to-close/,http://j-source.ca/article/black-press-folds-two-vancouver-island-newspapers,http://nanaimobusinessnews.ca/2015/03/30/three-island-weekly-newspapers-to-close/,http://j-source.ca/article/black-press-folds-two-vancouver-island-newspapers,,,,,
164,Harbour City Star,closed,community paper,community paper : closed,49.1966299,-123.98295,,Nanaimo,BC,Canada,Black Press,4/10/2015,"Purchased from Glacier Media, the Harbour City Star community paper was closed in April, 2015 by Black Press. ",1,0,http://nanaimobusinessnews.ca/2015/03/30/three-island-weekly-newspapers-to-close/,,http://nanaimobusinessnews.ca/2015/03/30/three-island-weekly-newspapers-to-close/,,,,,,
165,Global News ,decrease,TV - private,TV - private : decrease,45.5002087,-73.57185,,Montreal,QC,Canada,Global,4/12/2015,Global News' local Montreal newscast began broadcasting from Toronto as of April 2015. ,2,0,http://blog.fagstein.com/2015/04/12/global-toronto-anchor/,http://blog.fagstein.com/2015/05/21/global-new-morning-news-review/,http://blog.fagstein.com/2015/04/12/global-toronto-anchor/,http://blog.fagstein.com/2015/05/21/global-new-morning-news-review/,,,,,
166,Niagara This Week ,decrease,community paper,community paper : decrease,43.1059474,-79.063904,,Niagara,ON,Canada,Metroland,5/1/2015,"Previously published twice a week, Niagara This Week began publishing weekly as of May 2015. ",1,1,http://www.niagarathisweek.com/community-static/2544689-niagarathisweek-com-about-us/,Niagara This Week staff,,http://www.niagarathisweek.com/community-static/2544689-niagarathisweek-com-about-us/,,,http://fishwrap.ca/newspaper_changelog.html,,
167,Prince George Free Press,closed,community paper,community paper : closed,53.908501,-122.78468,,Prince George,BC,Canada,Aberdeen,5/1/2015,"The Prince George Free Press, owned by Aberdeen publishing, closed in May 2015.",1,0,http://www.pgfreepress.com/30/,,http://www.pgfreepress.com/30/,,,,,,
168,Breakfast Television,decrease,TV - private,TV - private : decrease,53.5411682,-113.4959535,10212 Jasper Ave NW,Edmonton,AB,Canada,Rogers,5/7/2015,Rogers cancelled its Breakfast Television show in Edmonton in May 2015. ,1,0,http://www.theglobeandmail.com/report-on-business/rogers-to-cut-jobs-kill-all-omni-newscasts/article24306838/,,,http://www.theglobeandmail.com/report-on-business/rogers-to-cut-jobs-kill-all-omni-newscasts/article24306838/,,,,,
169,Omni,closed,TV - private,TV - private : closed,57.717431,-101.734863,,(Canada),(CAN),Canada,Rogers,5/7/2015,"OMNI Television, the multicultural broadcast wing of Rogers Media Inc., shut down its Punjabi, Mandarin, Cantonese and Italian newscasts in May 2015. The newscasts were replaced by current affairs shows in Cantonese, Mandarin and Punjabi that spend more time on each story but do not include original reporting. The Italian newscast was scrapped entirely and replaced with an Italian-language soap opera.",2,0,http://newseastwest.com/omni-television-shuts-punjabi-italian-and-chinese-newscasts-across-canada/,http://www.theglobeandmail.com/report-on-business/rogers-to-cut-jobs-kill-all-omni-newscasts/article24306838/,http://newseastwest.com/omni-television-shuts-punjabi-italian-and-chinese-newscasts-across-canada/,http://www.theglobeandmail.com/report-on-business/rogers-to-cut-jobs-kill-all-omni-newscasts/article24306838/,,,,,
170,VancouverDesi.com,closed,online,online : closed,49.2827291,-123.1207375,,Vancouver,BC,Canada,Postmedia,6/16/2015,"In the fall of 2012, the Vancouver Province launched a new website targeted at the South Asian community in B.C.: VancouverDesi.com. It closed in June of 2015, and the url now redirects to the Province's Asia Pacific section.",0,1,Newspapers Canada Year in Review - 2012,,,,,,,Newspapers Canada Year in Review - 2012,
171,The Meadow Lake Progress ,closed,community paper,community paper : closed,54.1297418,-108.43327,,Meadow Lake,SK,Canada,Sun Media,6/29/3013,"In July 2013 Sun Media announced the closure of The Meadow Lake Progress, a weekly publication. ",1,1,http://www.macleans.ca/general/sun-media-cutting-360-jobs-and-closing-11-papers/,,http://www.macleans.ca/general/sun-media-cutting-360-jobs-and-closing-11-papers/,,,,http://www.cbc.ca/news/canada/saskatchewan/meadow-lake-progress-prints-its-last-issue-1.1344570,,
173,Loyalist City Newschasers,new,online,online : new,45.313734,-66.040163,,Saint John,NB,Canada,independent,12/13/2013,"The Loyalist City Newschasers is a local private Facebook group that publishes news. It started in December, 2013. ",0,1,https://www.facebook.com/groups/LOYALISTCITYNEWSCHASERS/,,,,https://www.facebook.com/groups/LOYALISTCITYNEWSCHASERS/,,,,
174,The Cult,new,online,online : new,45.5016889,-73.567256,??,Montreal,QC,Canada,independent,7/1/2012,"Cult MTL is a daily web and monthly print publication focusing on local culture, founded in July 2012 and run by former employees of the Mirror. ",0,1,http://cultmontreal.com/contact/#sthash.wIXrkkfA.dpuf,,,,http://cultmontreal.com/contact/#sthash.wIXrkkfA.dpuf,,,,
175,Voir,decrease,community paper,community paper : decrease,45.5008951,-73.5605664,"260, rue Queen",Montreal,QC,Canada,Communications Voir,5/20/2013,Voir is a community paper that reduced its publication schedule from weekly to every two weeks in May 2013. ,0,1,https://en.wikipedia.org/wiki/Voir,,,,,https://en.wikipedia.org/wiki/Voir,,,
176,Hour,closed,community paper,community paper : closed,45.5061239,-73.5673277,355 Ste-Catherine W.,Montreal,QC,Canada,Communications Voir,5/1/2012,"The Hour, a commuity newspaper in Montreal, closed in May 2012.",1,1,http://montrealgazette.com/entertainment/death-of-the-alt-weekly-why-the-montreal-mirror-was-doomed-when-hour-magazine-folded,,http://montrealgazette.com/entertainment/death-of-the-alt-weekly-why-the-montreal-mirror-was-doomed-when-hour-magazine-folded,,,https://en.wikipedia.org/wiki/Hour_Community,,,
177,ICI,closed,community paper,community paper : closed,45.4981882,-73.5570288,612 Rue Saint-Jacques,Montreal,QC,Canada,Quebecor,4/1/2009,The Montreal community newspaper ICI closed in April 2009.,1,1,http://montrealgazette.com/entertainment/death-of-the-alt-weekly-why-the-montreal-mirror-was-doomed-when-hour-magazine-folded,,http://montrealgazette.com/entertainment/death-of-the-alt-weekly-why-the-montreal-mirror-was-doomed-when-hour-magazine-folded,,,https://en.wikipedia.org/wiki/Ici_(magazine),,,
178,La Ronge Northerner,closed,community paper,community paper : closed,55.108094,-105.286025,,La Ronge,SK,,Glacier Media,8/7/2015,"La Ronge Northerner, a Glacier Media title, ceased publication in August 2015. ",2,0,https://adwestmarketing.wordpress.com/2015/08/07/hudson-bay-post-review-la-ronge-northerner/,http://www.cbc.ca/news/canada/saskatchewan/la-ronge-newspaper-the-northerner-closing-after-41-years-1.3181831,https://adwestmarketing.wordpress.com/2015/08/07/hudson-bay-post-review-la-ronge-northerner/,http://www.cbc.ca/news/canada/saskatchewan/la-ronge-newspaper-the-northerner-closing-after-41-years-1.3181831,,,,,
179,Hudson Bay Post Review ,closed,community paper,community paper : closed,52.856579,-102.388723,,Hudson Bay,SK,,Glacier Media,8/7/2015,"Hudson Bay Post Review, a Glacier Media title, ceased publication in August 2015. ",1,0,https://adwestmarketing.wordpress.com/2015/08/07/hudson-bay-post-review-la-ronge-northerner/,,https://adwestmarketing.wordpress.com/2015/08/07/hudson-bay-post-review-la-ronge-northerner/,,,,,,
180,The Mainlander,new,online,online : new,49.276161,-123.119689,,vancouver,BC,Canada,independent,11/26/2010,"The Mainlander is a news and views website that bills itself as ""Vancouver's Place for Progressive Politics"", opened in November 2010. ",0,1,http://themainlander.com/about/,,,,http://themainlander.com/about/,,,,
181,The Telegram,decrease (arrow),daily paper - paid,daily paper - paid : decrease (arrow),47.5675,-52.7072,,St. John's,NL,,Transcontinental,9/21/2008,"The Sunday edition of The Telegram, a Transcontinental paper based in St. John's, was cancelled as of  September 21st, 2008. ",0,1,Newspapers Canada Circulation Report,,,,,,,Circulation Report,
183,The Brockville Recorder and Times,decrease (arrow),daily paper - paid,daily paper - paid : decrease (arrow),44.5833,-75.6833,,Brockville,ON,Canada,Sun Media,2009,"The Brockville Recorder and Times, owned by Sun Media, cancelled its Monday edition in 2009. ",0,1,Newspapers Canada Circulation Report,,,,,,,Circulation Report,
184,Victoria Times Colonist,decrease (arrow),daily paper - paid,daily paper - paid : decrease (arrow),48.43701,-123.365218,,Victoria,BC,,Canwest,6/1/2009,"Canwest's Victoria Times Colonist reduced its publishing cycle to 6 days,Tues-Sunday, in June 2009. ",0,2,https://en.wikipedia.org/wiki/Times_Colonist,,,,,https://en.wikipedia.org/wiki/Times_Colonist,,Circulation Report,
185,The Gazette,decrease (arrow),daily paper - paid,daily paper - paid : decrease (arrow),45.500273,-73.572299,,Montreal,QC,Canada,Postmedia,8/8/2010,"The Montreal Gazette, a Postmedia paid-circulation daily paper, stopped publishing a Sunday edition in August 2008. ",1,1,http://www.cbc.ca/news/canada/montreal/gazette-drops-sunday-paper-for-web-news-1.954662,,http://www.cbc.ca/news/canada/montreal/gazette-drops-sunday-paper-for-web-news-1.954662,,,,,Circulation Report,
186,La Presse,decrease (arrow),daily paper - paid,daily paper - paid : decrease (arrow),45.506233,-73.556653,,Montreal,QC,,Power Corp. of Canada,6/28/2009,"La Presse, a daily paid paper owned by Power Corp. of Canada, stopped publishing a Sunday edition in June 2009. ",2,1,http://www.recorder.ca/2009/06/16/la-presse-to-stop-publishing-a-sunday-edition-7,http://www.thestar.com/news/canada/2010/07/14/montreals_the_gazette_to_end_sunday_paper.html,http://www.recorder.ca/2009/06/16/la-presse-to-stop-publishing-a-sunday-edition-7,http://www.thestar.com/news/canada/2010/07/14/montreals_the_gazette_to_end_sunday_paper.html,,,,Circulation Report,
187,St.Thomas Times-Journal,decrease (arrow),daily paper - paid,daily paper - paid : decrease (arrow),42.775,-81.1833,,St. Thomas,ON,Canada,Sun Media,12/22/2008,"Sun Media's St. Thomas Times-Journal stopped publishing on Mondays as of  December 22, 2008. ",0,1,Newspapers Canada Circulation Report,,,,,,,Circulation Report,
188,Pembroke Daily Observer,decrease (arrow),daily paper - paid,daily paper - paid : decrease (arrow),45.8167,-77.1167,,Pembroke,ON,Canada,Sun Media,2008,The Sun Media-owned Pembroke Daily Observer stopped publishing a Monday edition in 2008. ,0,1,Newspapers Canada Circulation Report,,,,,,,Circulation Report,
189,Montreal News at Noon,increase,TV - private,TV - private : increase,45.500198,-73.57251,,Montreal,ON,Canada,Global,8/17/2015,"Global's News at Noon is a new half-hour local newscast produced out of Montreal and hosted by Jamie Orchard. It launched August 17, 2015. ",1,0,http://blog.fagstein.com/2015/08/17/global-outsourced-news-review/,,http://blog.fagstein.com/2015/08/17/global-outsourced-news-review/,,,,,,
190,Northern Sun News,closed,community paper,community paper : closed,51.033333,-93.833333,,Red Lake,ON,Canada,independent,9/2/2015,"The September 2, 2015 issue was the final edition of The Northern Sun News, a community paper. ",0,1,https://www.facebook.com/thenorthernsunnews/posts/879424392139057,http://www.thenorthernsun.com/just-another-day-at-the-office-sort-of/,,,https://www.facebook.com/thenorthernsunnews/posts/879424392139057,,,,
191,Ottawa XPress,closed,community paper,community paper : closed,45.403913,-75.610743,,Ottawa,ON,Canada,Voir Communications,5/22/2012,"The XPress, owned by Voir Communications, closed down in May 2012. ",,,https://web.archive.org/web/20120526015935/http://www.ottawacitizen.com/opinion/columnists/XPress+news+Ottawa+that+stayed+late/6661181/story.html,https://en.wikipedia.org/wiki/Ottawa_XPress,,,,,,,
192,Roundhouse Radio,new,radio - private,radio - private : new,49.273315,-123.121854,,Vancouver,BC,,independent,9/15/2015,A new hyper-local private radio station called Roundhouse Radio launched in September 2015. ,,,http://www.dailyxtra.com/vancouver/news-and-ideas/news/gay-roots-vancouver%E2%80%99s-new-roundhouse-radio-128201,,,,,,,,
202,Campbell River/Comox Valley Daily,closed,daily paper - free,daily paper - free : closed,49.843338,-125.215705,,Comox Valley,BC,Canada,Black Press,12/20/2013,"Campbell River/Comox Valley Daily, created in 2011 by Black Press, ceased publishing in December 2013.  ",0,2,http://www.journauxcanadiens.ca/sites/default/files/2013%20Daily%20Newspapers%20Circulation%20Report%20FRENCH%20Final.pdf,,,,,,,http://www.journauxcanadiens.ca/sites/default/files/2013%20Daily%20Newspapers%20Circulation%20Report%20FRENCH%20Final.pdf,UNIFOR paper closure spreadsheet
205,Fraser Valley Daily,closed,daily paper - free,daily paper - free : closed,49.12727,-122.46002,,Fraser Valley,BC,Canada,Black Press,5/31/2013,"The Fraser Valley Daily,  a free newspaper that covered Chilliwack and Abbotsford, ceased publication in 2013. ",0,2,https://www.google.ca/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&sqi=2&ved=0CB8QFjAAahUKEwiP7tHeusLHAhUWfogKHZTlCTs&url=http%3A%2F%2Fwww.newspaperscanada.ca%2Fsites%2Fdefault%2Ffiles%2F2013%2520Daily%2520Newspapers%2520Circulation%2520Report%2520FINAL.xlsx&ei=L3HbVc-aJJb8oQSUy6fYAw&usg=AFQjCNHQJwBmO7GS0DmSWj1nkSeVKDgdOA&sig2=GuP8a2Bc9g7ybCJM6PvYZQ,,,,,,,https://www.google.ca/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&sqi=2&ved=0CB8QFjAAahUKEwiP7tHeusLHAhUWfogKHZTlCTs&url=http%3A%2F%2Fwww.newspaperscanada.ca%2Fsites%2Fdefault%2Ffiles%2F2013%2520Daily%2520Newspapers%2520Circulation%2520Report%2520FINAL.xlsx&ei=L3HbVc-aJJb8oQSUy6fYAw&usg=AFQjCNHQJwBmO7GS0DmSWj1nkSeVKDgdOA&sig2=GuP8a2Bc9g7ybCJM6PvYZQ,UNIFOR paper closure spreadsheet
207,Dawson Creek Daily News,closed; merger,daily paper - paid,daily paper - paid : closed; merger,55.7596274,-120.2376623,,Dawson Creek,BC,Canada,Glacier Media,2/3/2014,"In early 2014 Glacier media merged two daily newspapers in the Peace River region of British Columbia: the Dawson Creek Daily News and the Alaska Highway News in Fort St. John. The company said the Alaska Highway News would expand to cover Dawson Creek, Fort Nelson to the north and the surrounding areas. ",1,0,http://www.huffingtonpost.ca/2014/01/22/glacier-media-merging-dawson-creek-daily-news-alaska-highway-news_n_4647903.html,,http://www.huffingtonpost.ca/2014/01/22/glacier-media-merging-dawson-creek-daily-news-alaska-highway-news_n_4647903.html,,,,,,
209,Golden Ears Daily,closed,daily paper - free,daily paper - free : closed,49.162674,-122.585946,,Fort Langley,BC,Canada,Black Press,11/29/2013,"The Golden Ears Daily, a Black Press-owned free daily, ceased publication in November, 2013.",0,1,Black Press Staff,,,,,,,,UNIFOR paper closure spreadsheet
213,Cramahe Now,new,online,online : new,44.0927697,-77.8824596,,Cramahe,ON,,independent,3/1/2009,"Cramahe Now is a hyperlocal news site, launched in March 2009. ",1,0,http://j-source.ca/article/cramahe-now-experiment-hyperlocal-journalism,,http://j-source.ca/article/cramahe-now-experiment-hyperlocal-journalism,,,,,,
214,Northumberland Today,new; merger,daily paper - paid,daily paper - paid : new; merger,43.959312,-78.168989,,Cobourg,ON,Canada,Quebecor,3/1/2009,"In March 2009, Quebecor's Port Hope Guide merged with the Cobourg Daily Star and the Colborne Chronicle, a community paper, to create Northumberland Today.",1,1,http://j-source.ca/article/cramahe-now-experiment-hyperlocal-journalism,,http://j-source.ca/article/cramahe-now-experiment-hyperlocal-journalism,,,,http://fishwrap.ca/newspaper_changelog.html,,
215,Colborne Chronicle,closed; merger,community paper,community paper : closed; merger,44.0050203,-77.8882304,,Colborne,ON,Canada,Quebecor,3/1/2009,"In March 2009, Quebecor's Port Hope Guide merged with the Cobourg Daily Star and the Colborne Chronicle, a community paper, to create Northumberland Today.",1,0,http://j-source.ca/article/cramahe-now-experiment-hyperlocal-journalism,,http://j-source.ca/article/cramahe-now-experiment-hyperlocal-journalism,,,,,,
216,Cobourg Daily Star,closed; merger,daily paper - paid,daily paper - paid : closed; merger,43.9593373,-78.1677363,,Cobourg,ON,Canada,Quebecor,3/1/2009,"In March 2009, Quebecor's Port Hope Guide merged with the Cobourg Daily Star and the Colborne Chronicle, a community paper, to create Northumberland Today.",1,1,http://j-source.ca/article/cramahe-now-experiment-hyperlocal-journalism,,http://j-source.ca/article/cramahe-now-experiment-hyperlocal-journalism,,,,,,UNIFOR paper closure spreadsheet
217,Port Hope Evening Guide,closed; merger,daily paper - paid,daily paper - paid : closed; merger,43.949164,-78.2934616,,Port Hope,ON,Canada,Quebecor,3/1/2009,"In March 2009, Quebecor's Port Hope Guide merged with the Cobourg Daily Star and the Colborne Chronicle, a community paper, to create Northumberland Today.",1,1,http://j-source.ca/article/cramahe-now-experiment-hyperlocal-journalism,,http://j-source.ca/article/cramahe-now-experiment-hyperlocal-journalism,,,,,,UNIFOR paper closure spreadsheet
218,Wainwright Star,closed; merger,community paper,community paper : closed; merger,52.83307,-110.8504696,,Wainwright,AB,Canada,Star News Inc. ,10/29/2013,"The Wainrwright Star and the Wainwright Edge merged to create the Wainright Star/Edge, effective Nov. 1, 2013. The new community paper appears on Fridays.",1,0,https://adwestmarketing.wordpress.com/2013/10/09/awna-update-wainwright-staredge/,,https://adwestmarketing.wordpress.com/2013/10/09/awna-update-wainwright-staredge/,,,,,,
